status,dir,orig_entry_time,orig_exit_time,orig_dir,t_stop_ns,stop_confirmed,entry_ts_ns,entry_ref_px,entry_fill_px,sl,tp,risk_pips,exit_type,exit_ts_ns,exit_px,net_pips,r,be_moved
SKIP_DAILY,,2014-10-13 15:30:00,2014-10-13 17:15:00,1,1413210600222000000,,,,,,,,,,,,,
SKIP_DAILY,,2014-10-20 15:00:00,2014-10-20 17:30:00,-1,1413816300077000000,,,,,,,,,,,,,
SKIP_DAILY,,2014-10-20 15:30:00,2014-10-20 16:00:00,-1,1413810900604000000,,,,,,,,,,,,,
TRADE,1,2014-11-04 08:30:00,2014-11-04 11:15:00,-1,1415093400174000000,False,1415093405314000000,1.25055,1.25055,1.24981,1.2524,7.4,TARGET,1415096866176000000,1.2524,18.5,2.5,True
SKIP_DAILY,,2014-11-04 15:15:00,2014-11-04 16:15:00,-1,1415111400295000000,,,,,,,,,,,,,
TRADE,-1,2014-11-06 11:45:00,2014-11-06 14:30:00,1,1415277900098000000,False,1415277905265000000,1.25194,1.25194,1.25279,1.249815,8.5,STOP,1415277941440000000,1.25281,-8.7,-1.02353,False
TRADE,1,2014-11-25 09:30:00,2014-11-25 10:30:00,-1,1416904431269000000,True,1416904436290000000,1.24389,1.24389,1.24136,1.2502149999999999,25.3,STOP,1416922202457000000,1.241,-28.9,-1.14229,False
SKIP_DAILY,,2014-11-25 11:30:00,2014-11-25 16:30:00,-1,1416926264105000000,,,,,,,,,,,,,
TRADE,-1,2014-11-26 10:15:00,2014-11-26 11:00:00,1,1416992775990000000,True,1416992781175000000,1.24634,1.24634,1.2496099999999999,1.2381650000000004,32.7,STOP,1417009071706000000,1.24961,-32.7,-1.0,False
TRADE,-1,2014-12-15 08:45:00,2014-12-15 10:00:00,1,1418631232026000000,True,1418631238734000000,1.24385,1.24385,1.24748,1.234775,36.3,STOP,1418661636362000000,1.24749,-36.4,-1.00275,False
TRADE,-1,2014-12-17 09:15:00,2014-12-17 09:45:00,1,1418802932548000000,True,1418802937765000000,1.24716,1.24716,1.24985,1.2404350000000004,26.9,TARGET,1418830471055000000,1.2404350000000004,67.25,2.5,True
TRADE,1,2014-12-23 10:00:00,2014-12-23 10:30:00,-1,1419323857614000000,True,1419323863535000000,1.22415,1.22415,1.22212,1.229225,20.3,STOP,1419332963016000000,1.2221,-20.5,-1.00985,False
