entry_i,year,stop_pips,pip_eur_at_minlot,risk_eur_minlot,risk_pct_minlot,lot_for_05,lot_05_rounded,lot_for_1,lot_1_rounded,r_multiple
11722,2021,13.57310483663924,0.09908654563323184,1.3449120717802938,0.26898241435605874,0.01858857580697218,0.01,0.03717715161394436,0.03,-1.0663075995383764
11751,2021,15.452834670770448,0.09805640775345138,1.5152494574237376,0.30304989148474754,0.01649893347759753,0.01,0.03299786695519506,0.03,0.15725937458264663
11785,2021,14.356231157535989,0.0976179931396813,1.401426474648027,0.2802852949296054,0.017838966547480725,0.01,0.03567793309496145,0.03,-1.0626905481058757
11959,2021,15.06415331245037,0.0995307773044391,1.4993468886214265,0.2998693777242853,0.01667392662080103,0.01,0.03334785324160206,0.03,-1.0597444795822502
12002,2021,11.99316508995582,0.09941839459283217,1.1923412193302072,0.23846824386604143,0.020967152350938306,0.02,0.04193430470187661,0.04,-1.0750427425328999
12036,2021,15.928808194984631,0.09913324777158532,1.5790744894994702,0.31581489789989403,0.01583205869402932,0.01,0.03166411738805864,0.03,-0.8150068348131865
12128,2021,9.54940164144939,0.09912199670968706,0.9465557580832266,0.1893111516166453,0.026411545000396965,0.02,0.05282309000079393,0.05,-1.0942467427585507
12145,2021,8.310344967512819,0.09905213270142178,0.8231573925166724,0.16463147850333448,0.03037086251945875,0.03,0.0607417250389175,0.06,-1.108298753363146
12246,2021,10.068496715883269,0.0991673993318094,0.9984666344950076,0.19969332689900154,0.02503839300813912,0.02,0.05007678601627824,0.05,-1.0893877234502807
12273,2021,9.47869102783613,0.09862457564833933,0.9348318803220597,0.1869663760644119,0.02674277645664719,0.02,0.05348555291329438,0.05,-1.0949498192689988
12301,2021,7.684342653223809,0.0989195289671222,0.7601315556788653,0.15202631113577306,0.03288904376252709,0.03,0.06577808752505418,0.06,-1.1171212738180236
12313,2021,7.8315481841687005,0.0990319195452558,0.7755732496893889,0.15511464993787777,0.03223422160319778,0.03,0.06446844320639555,0.06,-1.1149198062547963
12345,2021,6.553510897856279,0.0986020267559695,0.6461894568959626,0.12923789137919253,0.038688344003769526,0.03,0.07737668800753905,0.07,1.0687563977125587
12393,2021,6.80814096237252,0.09808429785124828,0.6677717259666304,0.13355434519332607,0.037437943278912186,0.03,0.07487588655782437,0.07,-1.1321946776623195
12410,2021,8.2559680511365,0.09863166130574633,0.8142998445707579,0.16285996891415158,0.030701221628229903,0.03,0.061402443256459806,0.06,-0.45684852114024405
12457,2022,7.48734647714754,0.09863903065652883,0.7385445986954093,0.14770891973908187,0.0338503592662662,0.03,0.0677007185325324,0.06,-1.175316252140814
12481,2022,8.848589279555108,0.09796477122087732,0.8668500243991238,0.17337000487982476,0.02884005225394012,0.02,0.05768010450788024,0.05,6.38373228365142
12697,2022,14.02342597474271,0.09965405783174633,1.3974913030862235,0.2794982606172447,0.017889198984487372,0.01,0.035778397968974744,0.03,1.848682117922536
12840,2022,13.213848981410939,0.09930962489911928,1.3122623858175297,0.26245247716350595,0.019051068041110685,0.01,0.03810213608222137,0.03,-1.0681103591592591
12850,2022,13.59185547702495,0.09892556985986838,1.3445820485176663,0.26891640970353325,0.018593138312058558,0.01,0.037186276624117116,0.03,-1.066216124908187
12874,2022,10.18305151089462,0.09884987999509467,1.0065934198358006,0.20131868396716013,0.024836244214747692,0.02,0.049672488429495384,0.04,14.062582306177452
13020,2022,9.92743764692645,0.09827149313386568,0.9755841205568123,0.19511682411136247,0.025625673351193243,0.02,0.051251346702386485,0.05,-1.0906578345802007
13033,2022,9.953522273618761,0.09968305382860526,0.9921974965853604,0.19843949931707208,0.02519659653046626,0.02,0.05039319306093252,0.05,-1.3060703178870343
13083,2022,10.63901381790631,0.09909577188830226,1.0542812864157394,0.21085625728314786,0.023712836718360986,0.02,0.04742567343672197,0.04,-1.0845943068976458
